Hostname,Distro,CVE ID,Compliance ID,Type,Severity,Package Name,Package Version,Package License,CVSS,Vendor status,Description,Cause
localhost,Ubuntu-bionic,,6627,linux,high,,,,0.00,,(CIS_Linux_1.1.0 - 6.2.7) Ensure all users' home directories exist,Missing home directory for user mysql
localhost,Ubuntu-bionic,,6628,linux,high,,,,0.00,,(CIS_Linux_1.1.0 - 6.2.8) Ensure users' home directories permissions are 750 or more restrictive,"Home directory permissions of 3 users is more permissive than 750, e.g /var/lib/jenkins:755"
localhost,Ubuntu-bionic,,6518,linux,high,,,,0.00,,(CIS_Linux_1.1.0 - 5.1.8) Ensure at/cron is restricted to authorized users,Forbidden cron file exists. File /etc/at.deny
localhost,Ubuntu-bionic,CVE-2017-16808,46,image,low,tcpdump,4.9.2-3,,5.50,deferred,tcpdump 4.9.2 has a heap-based buffer over-read related to aoe_print in print-aoe.c and lookup_emem in addrtoname.c.,
localhost,Ubuntu-bionic,CVE-2018-19519,46,image,low,tcpdump,4.9.2-3,,5.50,deferred,"In tcpdump 4.9.2, a stack-based buffer over-read exists in the print_prefix function of print-hncp.c via crafted packet data because of missing initialization.",
localhost,Ubuntu-bionic,CVE-2019-7306,46,image,low,byobu,5.125-0ubuntu1,GPL-3,0.00,needed,"Byobu Apport hook may disclose sensitive information since it automatically uploads the local user\'s .screenrc which may contain private hostnames, usernames and passwords.",
localhost,Ubuntu-bionic,CVE-2012-0881,46,image,low,libxerces2-java,2.11.0-8,Apache-2.0,7.50,needed,"Apache Xerces2 Java Parser before 2.12.0 allows remote attackers to cause a denial of service (CPU consumption) via a crafted message to an XML service, which triggers hash table collisions.",
localhost,Ubuntu-bionic,CVE-2019-0816,46,image,medium,cloud-init,18.4-0ubuntu1~16.04.2,GPL-3 or Apache-2.0,5.10,fixed in 18.5-45-g3554ffe8-0ubuntu1~18.04.1,"A security feature bypass exists in Azure SSH Keypairs, due to a change in the provisioning logic for some Linux images that use cloud-init, aka \'Azure SSH Keypairs Security Feature Bypass Vulnerability\'.",
localhost,Ubuntu-bionic,CVE-2018-20482,46,image,low,tar,1.29b-2ubuntu0.1,GPL-3,4.70,needed,"GNU Tar through 1.30, when --sparse is used, mishandles file shrinkage during read access, which allows local users to cause a denial of service (infinite read loop in sparse_dump_region in sparse.c) by modifying a file that is supposed to be archived by a different user\'s process (e.g., a system backup running as root).",
localhost,Ubuntu-bionic,CVE-2016-2781,46,image,low,coreutils,8.28-1ubuntu1,GPL-3,6.50,deferred,"chroot in GNU coreutils, when used with --userspec, allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal\'s input buffer.",
localhost,Ubuntu-bionic,CVE-2018-1000035,46,image,low,unzip,6.0-21ubuntu1,,7.80,needed,A heap-based buffer overflow exists in Info-Zip UnZip version <= 6.00 in the processing of password-protected archives that allows an attacker to perform a denial of service or to possibly achieve code execution.,
localhost,Ubuntu-bionic,CVE-2017-13716,46,image,low,binutils,2.26.1-1ubuntu1~16.04.7,GPL,5.50,deferred,"The C++ symbol demangler routine in cplus-dem.c in libiberty, as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service (excessive memory allocation and application crash) via a crafted file, as demonstrated by a call from the Binary File Descriptor (BFD) library (aka libbfd).",
localhost,Ubuntu-bionic,CVE-2017-6965,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,5.50,needed,"readelf in GNU Binutils 2.28 writes to illegal addresses while processing corrupt input files containing symbol-difference relocations, leading to a heap-based buffer overflow.",
localhost,Ubuntu-bionic,CVE-2017-6966,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,5.50,needed,"readelf in GNU Binutils 2.28 has a use-after-free (specifically read-after-free) error while processing multiple, relocated sections in an MSP430 binary. This is caused by mishandling of an invalid symbol index, and mishandling of state across invocations.",
localhost,Ubuntu-bionic,CVE-2017-6969,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,9.10,needed,readelf in GNU Binutils 2.28 is vulnerable to a heap-based buffer over-read while processing corrupt RL78 binaries. The vulnerability can trigger program crashes. It may lead to an information leak as well.,
localhost,Ubuntu-bionic,CVE-2017-7209,46,image,low,binutils,2.26.1-1ubuntu1~16.04.7,GPL,5.50,needed,"The dump_section_as_bytes function in readelf in GNU Binutils 2.28 accesses a NULL pointer while reading section contents in a corrupt binary, leading to a program crash.",
localhost,Ubuntu-bionic,CVE-2017-7210,46,image,low,binutils,2.26.1-1ubuntu1~16.04.7,GPL,5.50,needed,"objdump in GNU Binutils 2.28 is vulnerable to multiple heap-based buffer over-reads (of size 1 and size 8) while handling corrupt STABS enum type strings in a crafted object file, leading to program crash.",
localhost,Ubuntu-bionic,CVE-2017-7223,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,7.50,needed,"GNU assembler in GNU Binutils 2.28 is vulnerable to a global buffer overflow (of size 1) while attempting to unget an EOF character from the input stream, potentially leading to a program crash.",
localhost,Ubuntu-bionic,CVE-2017-7224,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,5.50,needed,"The find_nearest_line function in objdump in GNU Binutils 2.28 is vulnerable to an invalid write (of size 1) while disassembling a corrupt binary that contains an empty function name, leading to a program crash.",
localhost,Ubuntu-bionic,CVE-2017-7225,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,7.50,needed,"The find_nearest_line function in addr2line in GNU Binutils 2.28 does not handle the case where the main file name and the directory name are both empty, triggering a NULL pointer dereference and an invalid write, and leading to a program crash.",
localhost,Ubuntu-bionic,CVE-2017-7226,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,9.10,needed,"The pe_ILF_object_p function in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, is vulnerable to a heap-based buffer over-read of size 4049 because it uses the strlen function instead of strnlen, leading to program crashes in several utilities such as addr2line, size, and strings. It could lead to information disclosure as well.",
localhost,Ubuntu-bionic,CVE-2017-7227,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,7.50,needed,"GNU linker (ld) in GNU Binutils 2.28 is vulnerable to a heap-based buffer overflow while processing a bogus input script, leading to a program crash. This relates to lack of \'\\0\' termination of a name field in ldlex.l.",
localhost,Ubuntu-bionic,CVE-2017-9038,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,5.50,needed,"GNU Binutils 2.28 allows remote attackers to cause a denial of service (heap-based buffer over-read and application crash) via a crafted ELF file, related to the byte_get_little_endian function in elfcomm.c, the get_unwind_section_word function in readelf.c, and ARM unwind information that contains invalid word offsets.",
localhost,Ubuntu-bionic,CVE-2017-9039,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,5.50,needed,"GNU Binutils 2.28 allows remote attackers to cause a denial of service (memory consumption) via a crafted ELF file with many program headers, related to the get_program_headers function in readelf.c.",
localhost,Ubuntu-bionic,CVE-2017-9040,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,5.50,needed,"GNU Binutils 2017-04-03 allows remote attackers to cause a denial of service (NULL pointer dereference and application crash), related to the process_mips_specific function in readelf.c, via a crafted ELF file that triggers a large memory-allocation attempt.",
localhost,Ubuntu-bionic,CVE-2017-9041,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,5.50,needed,"GNU Binutils 2.28 allows remote attackers to cause a denial of service (heap-based buffer over-read and application crash) via a crafted ELF file, related to MIPS GOT mishandling in the process_mips_specific function in readelf.c.",
localhost,Ubuntu-bionic,CVE-2017-9043,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,7.80,needed,"readelf.c in GNU Binutils 2017-04-12 has a \""shift exponent too large for type unsigned long\"" issue, which might allow remote attackers to cause a denial of service (application crash) or possibly have unspecified other impact via a crafted ELF file.",
localhost,Ubuntu-bionic,CVE-2017-9044,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,5.50,needed,The print_symbol_for_build_attribute function in readelf.c in GNU Binutils 2017-04-12 allows remote attackers to cause a denial of service (invalid read and SEGV) via a crafted ELF file.,
localhost,Ubuntu-bionic,CVE-2017-9742,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,7.80,needed,"The score_opcodes function in opcodes/score7-dis.c in GNU Binutils 2.28 allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during \""objdump -D\"" execution.",
localhost,Ubuntu-bionic,CVE-2017-9744,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,7.80,needed,"The sh_elf_set_mach_from_flags function in bfd/elf32-sh.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during \""objdump -D\"" execution.",
localhost,Ubuntu-bionic,CVE-2017-9745,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,7.80,needed,"The _bfd_vms_slurp_etir function in bfd/vms-alpha.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during \""objdump -D\"" execution.",
localhost,Ubuntu-bionic,CVE-2017-9746,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,7.80,needed,"The disassemble_bytes function in objdump.c in GNU Binutils 2.28 allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of rae insns printing for this file during \""objdump -D\"" execution.",
localhost,Ubuntu-bionic,CVE-2017-9747,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,7.80,needed,"The ieee_archive_p function in bfd/ieee.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, might allow remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during \""objdump -D\"" execution. NOTE: this may be related to a compiler bug.",
localhost,Ubuntu-bionic,CVE-2017-9748,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,7.80,needed,"The ieee_object_p function in bfd/ieee.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, might allow remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during \""objdump -D\"" execution. NOTE: this may be related to a compiler bug.",
localhost,Ubuntu-bionic,CVE-2017-9749,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,7.80,needed,"The *regs* macros in opcodes/bfin-dis.c in GNU Binutils 2.28 allow remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during \""objdump -D\"" execution.",
localhost,Ubuntu-bionic,CVE-2017-9750,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,7.80,needed,"opcodes/rx-decode.opc in GNU Binutils 2.28 lacks bounds checks for certain scale arrays, which allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during \""objdump -D\"" execution.",
localhost,Ubuntu-bionic,CVE-2017-9751,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,7.80,needed,"opcodes/rl78-decode.opc in GNU Binutils 2.28 has an unbounded GETBYTE macro, which allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during \""objdump -D\"" execution.",
localhost,Ubuntu-bionic,CVE-2017-9752,46,image,medium,binutils,2.26.1-1ubuntu1~16.04.7,GPL,7.80,needed,"bfd/vms-alpha.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file in the _bfd_vms_get_value and _bfd_vms_slurp_etir functions during \""objdump -D\"" execution.",
localhost,Ubuntu-bionic,CVE-2018-6323,46,image,low,binutils,2.26.1-1ubuntu1~16.04.7,GPL,7.80,needed,"The elf_object_p function in elfcode.h in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29.1, has an unsigned integer overflow because bfd_size_type multiplication is not used. A crafted ELF file allows remote attackers to cause a denial of service (application crash) or possibly have unspecified other impact.",
localhost,Ubuntu-bionic,CVE-2018-6759,46,image,low,binutils,2.26.1-1ubuntu1~16.04.7,GPL,5.50,needed,"The bfd_get_debug_link_info_1 function in opncls.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.30, has an unchecked strnlen operation. Remote attackers could leverage this vulnerability to cause a denial of service (segmentation fault) via a crafted ELF file.",
localhost,Ubuntu-bionic,CVE-2018-6872,46,image,low,binutils,2.26.1-1ubuntu1~16.04.7,GPL,5.50,fixed in 2.30-20ubuntu2~18.04,"The elf_parse_notes function in elf.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.30, allows remote attackers to cause a denial of service (out-of-bounds read and segmentation violation) via a note with a large alignment.",
localhost,Ubuntu-bionic,CVE-2018-9996,46,image,low,binutils,2.26.1-1ubuntu1~16.04.7,GPL,5.50,deferred,"An issue was discovered in cplus-dem.c in GNU libiberty, as distributed in GNU Binutils 2.30. Stack Exhaustion occurs in the C++ demangling functions provided by libiberty, and there are recursive stack frames: demangle_template_value_parm, demangle_integral_value, and demangle_expression.",
localhost,Ubuntu-bionic,CVE-2015-4645,46,image,low,squashfs-tools,1:4.3-6ubuntu0.18.04.1,GPL-2+,5.50,needed,"Integer overflow in the read_fragment_table_4 function in unsquash-4.c in Squashfs and sasquatch allows remote attackers to cause a denial of service (application crash) via a crafted input, which triggers a stack-based buffer overflow.",
localhost,Ubuntu-bionic,CVE-2015-4646,46,image,low,squashfs-tools,1:4.3-6ubuntu0.18.04.1,GPL-2+,7.50,needed,"(1) unsquash-1.c, (2) unsquash-2.c, (3) unsquash-3.c, and (4) unsquash-4.c in Squashfs and sasquatch allow remote attackers to cause a denial of service (application crash) via a crafted input.",
localhost,Ubuntu-bionic,CVE-2019-6293,46,image,low,flex,2.6.4-6,GPL-3+,5.50,needed,An issue was discovered in the function mark_beginning_as_normal in nfa.c in flex 2.6.4. There is a stack exhaustion problem caused by the mark_beginning_as_normal function making recursive calls to itself in certain scenarios involving lots of \'*\' characters. Remote attackers could leverage this vulnerability to cause a denial-of-service.,
localhost,Ubuntu-bionic,CVE-2017-9525,46,image,low,cron,3.0pl1-128.1ubuntu1,GPL-2+,6.70,needed,"In the cron package through 3.0pl1-128 on Debian, and through 3.0pl1-128ubuntu2 on Ubuntu, the postinst maintainer script allows for group-crontab-to-root privilege escalation via symlink attacks against unsafe usage of the chown and chmod programs.",
localhost,Ubuntu-bionic,CVE-2019-9755,46,image,high,ntfs-3g,1:2015.3.14AR.1-1ubuntu0.1,GPL-2+,0.00,fixed in 1:2017.3.23-2ubuntu0.18.04.1,"<div class=\""field field-name-field-cve-details-text field-type-text-long field-label-hidden \"">",
localhost,Ubuntu-bionic,CVE-2017-7475,46,image,low,"cairo (used in libcairo-script-interpreter2, libcairo2, libcairo2-dev, libcairo-gobject2)",1.15.10-2ubuntu0.1,,5.50,deferred,Cairo version 1.15.4 is vulnerable to a NULL pointer dereference related to the FT_Load_Glyph and FT_Render_Glyph resulting in an application crash.,
localhost,Ubuntu-bionic,CVE-2017-9814,46,image,low,"cairo (used in libcairo-script-interpreter2, libcairo2, libcairo2-dev, libcairo-gobject2)",1.15.10-2ubuntu0.1,,7.50,deferred,cairo-truetype-subset.c in cairo 1.15.6 and earlier allows remote attackers to cause a denial of service (out-of-bounds read) because of mishandling of an unexpected malloc(0) call.,
localhost,Ubuntu-bionic,CVE-2018-18064,46,image,medium,"cairo (used in libcairo-script-interpreter2, libcairo2, libcairo2-dev, libcairo-gobject2)",1.15.10-2ubuntu0.1,,6.50,deferred,cairo through 1.15.14 has an out-of-bounds stack-memory write during processing of a crafted document by WebKitGTK+ because of the interaction between cairo-rectangular-scan-converter.c (the generate and render_rows functions) and cairo-image-compositor.c (the _cairo_image_spans_and_zero function).,
localhost,Ubuntu-bionic,CVE-2019-6461,46,image,low,"cairo (used in libcairo-script-interpreter2, libcairo2, libcairo2-dev, libcairo-gobject2)",1.15.10-2ubuntu0.1,,6.50,deferred,An issue was discovered in cairo 1.16.0. There is an assertion problem in the function _cairo_arc_in_direction in the file cairo-arc.c.,
localhost,Ubuntu-bionic,CVE-2019-6462,46,image,low,"cairo (used in libcairo-script-interpreter2, libcairo2, libcairo2-dev, libcairo-gobject2)",1.15.10-2ubuntu0.1,,6.50,deferred,"An issue was discovered in cairo 1.16.0. There is an infinite loop in the function _arc_error_normalized in the file cairo-arc.c, related to _arc_max_angle_for_tolerance_normalized.",
localhost,Ubuntu-bionic,CVE-2019-0197,46,image,low,apache2 (used in apache2-utils),2.4.29-1ubuntu4.6,,0.00,needed,"<div class=\""field field-name-field-cve-details-text field-type-text-long field-label-hidden \"">",
localhost,Ubuntu-bionic,CVE-2018-6552,46,image,high,"apport (used in python3-apport, apport)",2.20.1-0ubuntu2.18,,7.80,fixed in 2.20.9-0ubuntu7.1,"Apport does not properly handle crashes originating from a PID namespace allowing local users to create certain files as root which an attacker could leverage to perform a denial of service via resource exhaustion, possibly gain root privileges, or escape from containers. The is_same_ns() function returns True when /proc/<global pid>/ does not exist in order to indicate that the crash should be handled in the global namespace rather than inside of a container. However, the portion of the data/apport code that decides whether or not to forward a crash to a container does not always replace sys.argv[1] with the value stored in the host_pid variable when /proc/<global pid>/ does not exist which results in the container pid being used in the global namespace. This flaw affects versions 2.20.8-0ubuntu4 through 2.20.9-0ubuntu7, 2.20.7-0ubuntu3.7, 2.20.7-0ubuntu3.8, 2.20.1-0ubuntu2.15 through 2.20.1-0ubuntu2.17, and 2.14.1-0ubuntu3.28.",
localhost,Ubuntu-bionic,CVE-2017-18342,46,image,low,"pyyaml (used in python-yaml, python3-yaml)",3.12-1build2,,9.80,needed,"In PyYAML before 4.1, the yaml.load() API could execute arbitrary code. In other words, yaml.safe_load is not used.",
localhost,Ubuntu-bionic,CVE-2016-2568,46,image,low,"policykit-1 (used in libpolkit-gobject-1-0, libpolkit-agent-1-0, libpolkit-backend-1-0, policykit-1)",0.105-20ubuntu0.18.04.5,,7.80,deferred,"pkexec, when used with --user nonpriv, allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal\'s input buffer.",
localhost,Ubuntu-bionic,CVE-2017-14159,46,image,low,openldap (used in libldap-2.4-2),2.4.42+dfsg-2ubuntu3.4,,4.70,needed,"slapd in OpenLDAP 2.4.45 and earlier creates a PID file after dropping privileges to a non-root account, which might allow local users to kill arbitrary processes by leveraging access to this non-root account for PID file modification before a root script executes a \""kill `cat /pathname`\"" command, as demonstrated by openldap-initscript.",
localhost,Ubuntu-bionic,CVE-2016-1585,46,image,medium,apparmor (used in libapparmor-perl),2.10.95-0ubuntu2.10,,9.80,deferred,In all versions of AppArmor mount rules are accidentally widened when compiled.,
localhost,Ubuntu-bionic,CVE-2018-12015,46,image,medium,"perl (used in perl-modules-5.22, perl-base, libperl5.22, perl)",5.22.1-9ubuntu0.6,,7.50,fixed in 5.26.1-6ubuntu0.1,"In Perl through 5.26.2, the Archive::Tar module allows remote attackers to bypass a directory-traversal protection mechanism, and overwrite arbitrary files, via an archive file containing a symlink and a regular file with the same name.",
localhost,Ubuntu-bionic,CVE-2018-18311,46,image,medium,"perl (used in perl-modules-5.22, perl-base, libperl5.22, perl)",5.22.1-9ubuntu0.6,,9.80,fixed in 5.26.1-6ubuntu0.3,Perl before 5.26.3 and 5.28.x before 5.28.1 has a buffer overflow via a crafted regular expression that triggers invalid write operations.,
localhost,Ubuntu-bionic,CVE-2018-18312,46,image,medium,"perl (used in perl-modules-5.22, perl-base, libperl5.22, perl)",5.22.1-9ubuntu0.6,,9.80,fixed in 5.26.1-6ubuntu0.3,Perl before 5.26.3 and 5.28.0 before 5.28.1 has a buffer overflow via a crafted regular expression that triggers invalid write operations.,
localhost,Ubuntu-bionic,CVE-2018-18313,46,image,medium,"perl (used in perl-modules-5.22, perl-base, libperl5.22, perl)",5.22.1-9ubuntu0.6,,9.10,fixed in 5.26.1-6ubuntu0.3,Perl before 5.26.3 has a buffer over-read via a crafted regular expression that triggers disclosure of sensitive information from process memory.,
localhost,Ubuntu-bionic,CVE-2018-18314,46,image,medium,"perl (used in perl-modules-5.22, perl-base, libperl5.22, perl)",5.22.1-9ubuntu0.6,,9.80,fixed in 5.26.1-6ubuntu0.3,Perl before 5.26.3 has a buffer overflow via a crafted regular expression that triggers invalid write operations.,
localhost,Ubuntu-bionic,CVE-2018-1000500,46,image,medium,"busybox (used in busybox-initramfs, busybox-static)",1:1.27.2-2ubuntu3.2,,8.10,deferred,"Busybox contains a Missing SSL certificate validation vulnerability in The \""busybox wget\"" applet that can result in arbitrary code execution. This attack appear to be exploitable via Simply download any file over HTTPS using \""busybox wget https://compromised-domain.com/important-file\"".",
localhost,Ubuntu-bionic,CVE-2017-8845,46,image,low,lzo2 (used in liblzo2-2),2.08-1.2,,5.50,deferred,"The lzo1x_decompress function in lzo1x_d.ch in LZO 2.08, as used in lrzip 0.631, allows remote attackers to cause a denial of service (invalid memory read and application crash) via a crafted archive.",
localhost,Ubuntu-bionic,CVE-2018-1000021,46,image,low,"git (used in git-man, git)",1:2.17.1-1ubuntu0.4,,8.80,needed,"GIT version 2.15.1 and earlier contains a Input Validation Error vulnerability in Client that can result in problems including messing up terminal configuration to RCE. This attack appear to be exploitable via The user must interact with a malicious git server, (or have their traffic modified in a MITM attack).",
localhost,Ubuntu-bionic,CVE-2018-16869,46,image,medium,"nettle (used in libhogweed4, libnettle6)",3.4-1,,5.70,needed,"A Bleichenbacher type side-channel based padding oracle attack was found in the way nettle handles endian conversion of RSA decrypted PKCS#1 v1.5 data. An attacker who is able to run a process on the same physical core as the victim process, could use this flaw extract plaintext or in some cases downgrade any TLS connections to a vulnerable server.",
localhost,Ubuntu-bionic,CVE-2019-10906,46,image,medium,jinja2 (used in python3-jinja2),2.10-1,,8.60,needed,"In Pallets Jinja before 2.10.1, str.format_map allows a sandbox escape.",
localhost,Ubuntu-bionic,CVE-2017-7960,46,image,low,libcroco (used in libcroco3),0.6.12-2,,5.50,needed,The cr_input_new_from_uri function in cr-input.c in libcroco 0.6.11 and 0.6.12 allows remote attackers to cause a denial of service (heap-based buffer over-read) via a crafted CSS file.,
localhost,Ubuntu-bionic,CVE-2017-7961,46,image,low,libcroco (used in libcroco3),0.6.12-2,,7.80,needed,"** DISPUTED ** The cr_tknzr_parse_rgb function in cr-tknzr.c in libcroco 0.6.11 and 0.6.12 has an \""outside the range of representable values of type long\"" undefined behavior issue, which might allow remote attackers to cause a denial of service (application crash) or possibly have unspecified other impact via a crafted CSS file. NOTE: third-party analysis reports \""This is not a security issue in my view. The conversion surely is truncating the double into a long value, but there is no impact as the value is one of the RGB components.\""",
localhost,Ubuntu-bionic,CVE-2017-8834,46,image,low,libcroco (used in libcroco3),0.6.12-2,,6.50,needed,The cr_tknzr_parse_comment function in cr-tknzr.c in libcroco 0.6.12 allows remote attackers to cause a denial of service (memory allocation error) via a crafted CSS file.,
localhost,Ubuntu-bionic,CVE-2017-8871,46,image,low,libcroco (used in libcroco3),0.6.12-2,,6.50,needed,The cr_parser_parse_selector_core function in cr-parser.c in libcroco 0.6.12 allows remote attackers to cause a denial of service (infinite loop and CPU consumption) via a crafted CSS file.,
