Registry,Repository,Tag,Id,Distro,Hostname,Layer,CVE ID,Compliance ID,Type,Severity,Package Name,Package Version,Package License,CVSS,Vendor Status,Risk Factors,Description,Cause,Containers,Custom Labels
,registry,2,sha256:f32a97de94e13d29835a19851acd6cbc7979d1d50f703725541e44bb89a1ce91,alpine-3.8.4,localhost,,CVE-2019-0220,46,OS,low,apache2 (used in apache2-utils),2.4.38-r3,,0.00,fixed in 2.4.39-r0,"Has fix, Recent vulnerability","<div class=\""field field-name-field-cve-details-text field-type-text-long field-label-hidden \"">",,1,
,registry,2,sha256:f32a97de94e13d29835a19851acd6cbc7979d1d50f703725541e44bb89a1ce91,alpine-3.8.4,localhost,,,41,CIS,high,,,,0.00,,,(CIS_Docker_CE_v1.1.0 - 4.1) Image should be created with a non-root user,,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2018-20482,46,OS,low,tar,1.29b-2ubuntu0.1,GPL-3,4.70,needed,"DoS, Recent vulnerability","GNU Tar through 1.30, when --sparse is used, mishandles file shrinkage during read access, which allows local users to cause a denial of service (infinite read loop in sparse_dump_region in sparse.c) by modifying a file that is supposed to be archived by a different user\'s process (e.g., a system backup running as root).",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2017-10788,46,OS,low,libdbd-mysql-perl,4.046-1,Artistic or GPL-1+,9.80,needed,"Attack complexity: low, Attack vector: network, DoS",The DBD::mysql module through 4.043 for Perl allows remote attackers to cause a denial of service (use-after-free and application crash) or possibly have unspecified other impact by triggering (1) certain error responses from a MySQL server or (2) a loss of a network connection to a MySQL server. The use-after-free defect was introduced by relying on incorrect Oracle mysql_stmt_close documentation and code examples.,,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2017-10789,46,OS,low,libdbd-mysql-perl,4.046-1,Artistic or GPL-1+,5.90,needed,Attack vector: network,"The DBD::mysql module through 4.043 for Perl uses the mysql_ssl=1 setting to mean that SSL is optional (even though this setting\'s documentation has a \""your communication with the server will be encrypted\"" statement), which allows man-in-the-middle attackers to spoof servers via a cleartext-downgrade attack, a related issue to CVE-2015-3152.",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2016-2781,46,OS,low,coreutils,8.28-1ubuntu1,GPL-3,6.50,deferred,Attack complexity: low,"chroot in GNU coreutils, when used with --userspec, allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal\'s input buffer.",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2018-16869,46,OS,medium,"nettle (used in libnettle6, libhogweed4)",3.4-1,,5.70,needed,"Medium severity, Recent vulnerability","A Bleichenbacher type side-channel based padding oracle attack was found in the way nettle handles endian conversion of RSA decrypted PKCS#1 v1.5 data. An attacker who is able to run a process on the same physical core as the victim process, could use this flaw extract plaintext or in some cases downgrade any TLS connections to a vulnerable server.",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2019-9893,46,OS,medium,libseccomp (used in libseccomp2),2.3.1-2.1ubuntu4,,9.80,needed,"Attack complexity: low, Attack vector: network, Medium severity, Recent vulnerability","libseccomp before 2.4.0 did not correctly generate 64-bit syscall argument comparisons using the arithmetic operators (LT, GT, LE, GE), which might able to lead to bypassing seccomp filters and potential privilege escalations.",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2013-4235,46,OS,low,"shadow (used in passwd, login)",1:4.5-1ubuntu1,,0.00,needed,,TOCTOU race conditions by copying and removing directory trees,,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2018-7169,46,OS,low,"shadow (used in passwd, login)",1:4.5-1ubuntu1,,5.30,needed,"Attack complexity: low, Attack vector: network, Recent vulnerability","An issue was discovered in shadow 4.5. newgidmap (in shadow-utils) is setuid and allows an unprivileged user to be placed in a user namespace where setgroups(2) is permitted. This allows an attacker to remove themselves from a supplementary group, which may allow access to certain filesystem paths if the administrator has used \""group blacklisting\"" (e.g., chmod g-rwx) to restrict access to paths. This flaw effectively reverts a security feature in the kernel (in particular, the /proc/self/setgroups knob) to prevent this sort of privilege escalation.",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2019-2566,46,OS,medium,mysql-5.7 (used in libmysqlclient20),5.7.25-0ubuntu0.18.04.2,,4.90,fixed in 5.7.26-0ubuntu0.18.04.1,"Attack complexity: low, Attack vector: network, DoS, Has fix, Medium severity, Recent vulnerability",Vulnerability in the MySQL Server component of Oracle MySQL (subcomponent: Server: Audit Plug-in). Supported versions that are affected are 5.7.25 and prior and 8.0.15 and prior. Easily exploitable vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.0 Base Score 4.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H).,,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2019-2581,46,OS,medium,mysql-5.7 (used in libmysqlclient20),5.7.25-0ubuntu0.18.04.2,,4.90,fixed in 5.7.26-0ubuntu0.18.04.1,"Attack complexity: low, Attack vector: network, DoS, Has fix, Medium severity, Recent vulnerability",Vulnerability in the MySQL Server component of Oracle MySQL (subcomponent: Server: Optimizer). Supported versions that are affected are 5.7.25 and prior and 8.0.15 and prior. Easily exploitable vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.0 Base Score 4.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H).,,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2019-2592,46,OS,medium,mysql-5.7 (used in libmysqlclient20),5.7.25-0ubuntu0.18.04.2,,4.90,fixed in 5.7.26-0ubuntu0.18.04.1,"Attack complexity: low, Attack vector: network, DoS, Has fix, Medium severity, Recent vulnerability",Vulnerability in the MySQL Server component of Oracle MySQL (subcomponent: Server: PS). Supported versions that are affected are 5.7.25 and prior and 8.0.15 and prior. Easily exploitable vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.0 Base Score 4.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H).,,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2019-2614,46,OS,medium,mysql-5.7 (used in libmysqlclient20),5.7.25-0ubuntu0.18.04.2,,4.40,fixed in 5.7.26-0ubuntu0.18.04.1,"Attack vector: network, DoS, Has fix, Medium severity, Recent vulnerability","Vulnerability in the MySQL Server component of Oracle MySQL (subcomponent: Server: Replication). Supported versions that are affected are 5.6.43 and prior, 5.7.25 and prior and 8.0.15 and prior. Difficult to exploit vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.0 Base Score 4.4 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:H/UI:N/S:U/C:N/I:N/A:H).",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2019-2627,46,OS,medium,mysql-5.7 (used in libmysqlclient20),5.7.25-0ubuntu0.18.04.2,,4.90,fixed in 5.7.26-0ubuntu0.18.04.1,"Attack complexity: low, Attack vector: network, DoS, Has fix, Medium severity, Recent vulnerability","Vulnerability in the MySQL Server component of Oracle MySQL (subcomponent: Server: Security: Privileges). Supported versions that are affected are 5.6.43 and prior, 5.7.25 and prior and 8.0.15 and prior. Easily exploitable vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.0 Base Score 4.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H).",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2019-2628,46,OS,medium,mysql-5.7 (used in libmysqlclient20),5.7.25-0ubuntu0.18.04.2,,4.90,fixed in 5.7.26-0ubuntu0.18.04.1,"Attack complexity: low, Attack vector: network, DoS, Has fix, Medium severity, Recent vulnerability",Vulnerability in the MySQL Server component of Oracle MySQL (subcomponent: InnoDB). Supported versions that are affected are 5.7.25 and prior and 8.0.15 and prior. Easily exploitable vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.0 Base Score 4.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H).,,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2019-2632,46,OS,medium,mysql-5.7 (used in libmysqlclient20),5.7.25-0ubuntu0.18.04.2,,7.50,fixed in 5.7.26-0ubuntu0.18.04.1,"Attack complexity: low, Attack vector: network, Has fix, Medium severity, Recent vulnerability",Vulnerability in the MySQL Server component of Oracle MySQL (subcomponent: Server : Pluggable Auth). Supported versions that are affected are 5.7.25 and prior and 8.0.15 and prior. Easily exploitable vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized access to critical data or complete access to all MySQL Server accessible data. CVSS 3.0 Base Score 7.5 (Confidentiality impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N).,,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2019-2683,46,OS,medium,mysql-5.7 (used in libmysqlclient20),5.7.25-0ubuntu0.18.04.2,,4.90,fixed in 5.7.26-0ubuntu0.18.04.1,"Attack complexity: low, Attack vector: network, DoS, Has fix, Medium severity, Recent vulnerability","Vulnerability in the MySQL Server component of Oracle MySQL (subcomponent: Server: Options). Supported versions that are affected are 5.6.43 and prior, 5.7.25 and prior and 8.0.15 and prior. Easily exploitable vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.0 Base Score 4.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H).",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2017-14159,46,OS,low,"openldap (used in libldap-common, libldap-2.4-2)",2.4.45+dfsg-1ubuntu1.1,,4.70,needed,,"slapd in OpenLDAP 2.4.45 and earlier creates a PID file after dropping privileges to a non-root account, which might allow local users to kill arbitrary processes by leveraging access to this non-root account for PID file modification before a root script executes a \""kill `cat /pathname`\"" command, as demonstrated by openldap-initscript.",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2018-10844,46,OS,medium,gnutls28 (used in libgnutls30),3.5.18-1ubuntu1,,5.90,needed,"Attack vector: network, Medium severity, Recent vulnerability",It was found that the GnuTLS implementation of HMAC-SHA-256 was vulnerable to a Lucky thirteen style attack. Remote attackers could use this flaw to conduct distinguishing attacks and plaintext-recovery attacks via statistical analysis of timing data using crafted packets.,,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2018-10845,46,OS,medium,gnutls28 (used in libgnutls30),3.5.18-1ubuntu1,,5.90,needed,"Attack vector: network, Medium severity, Recent vulnerability",It was found that the GnuTLS implementation of HMAC-SHA-384 was vulnerable to a Lucky thirteen style attack. Remote attackers could use this flaw to conduct distinguishing attacks and plain text recovery attacks via statistical analysis of timing data using crafted packets.,,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2018-10846,46,OS,medium,gnutls28 (used in libgnutls30),3.5.18-1ubuntu1,,5.60,needed,"Medium severity, Recent vulnerability","A cache-based side channel in GnuTLS implementation that leads to plain text recovery in cross-VM attack setting was found. An attacker could use a combination of \""Just in Time\"" Prime+probe attack in combination with Lucky-13 attack to recover plain text using crafted packets.",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2018-16868,46,OS,medium,gnutls28 (used in libgnutls30),3.5.18-1ubuntu1,,5.60,needed,"Medium severity, Recent vulnerability","A Bleichenbacher type side-channel based padding oracle attack was found in the way gnutls handles verification of RSA decrypted PKCS#1 v1.5 data. An attacker who is able to run process on the same physical core as the victim process, could use this to extract plaintext or in some cases downgrade any TLS connections to a vulnerable server.",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2019-3829,46,OS,medium,gnutls28 (used in libgnutls30),3.5.18-1ubuntu1,,7.50,needed,"Attack complexity: low, Attack vector: network, Medium severity, Recent vulnerability",A vulnerability was found in gnutls versions from 3.5.8 before 3.6.7. A memory corruption (double free) vulnerability in the certificate verification API. Any client or server application that verifies X.509 certificates with GnuTLS 3.5.8 or later is affected.,,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2019-3842,46,OS,medium,"systemd (used in libudev1, libsystemd0)",237-3ubuntu10.13,,7.00,fixed in 237-3ubuntu10.19,"Exploit exists, Has fix, Medium severity, Recent vulnerability","In systemd before v242-rc4, it was discovered that pam_systemd does not properly sanitize the environment before using the XDG_SEAT variable. It is possible for an attacker, in some particular configurations, to set a XDG_SEAT environment variable which allows for commands to be checked against polkit policies using the \""allow_active\"" element rather than \""allow_any\"".",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2019-3843,46,OS,low,"systemd (used in libudev1, libsystemd0)",237-3ubuntu10.13,,7.80,needed,"Attack complexity: low, Recent vulnerability","It was discovered that a systemd service that uses DynamicUser property can create a SUID/SGID binary that would be allowed to run as the transient service UID/GID even after the service is terminated. A local attacker may use this flaw to access resources that will be owned by a potentially different service in the future, when the UID/GID will be recycled.",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2019-3844,46,OS,low,"systemd (used in libudev1, libsystemd0)",237-3ubuntu10.13,,7.80,needed,"Attack complexity: low, Recent vulnerability","It was discovered that a systemd service that uses DynamicUser property can get new privileges through the execution of SUID binaries, which would allow to create binaries owned by the service transient group with the setgid bit set. A local attacker may use this flaw to access resources that will be owned by a potentially different service in the future, when the GID will be recycled.",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2018-20839,46,OS,medium,"systemd (used in libudev1, libsystemd0)",237-3ubuntu10.13,,9.80,needed,"Medium severity, Recent vulnerability","systemd 242 changes the VT1 mode upon a logout, which allows attackers to read cleartext passwords in certain circumstances, such as watching a shutdown, or using Ctrl-Alt-F1 and Ctrl-Alt-F2. This occurs because the KDGKBMODE (aka current keyboard mode) check is mishandled.",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2015-8985,46,OS,low,"glibc (used in libc6, libc-bin)",2.27-3ubuntu1,,5.90,needed,"Attack vector: network, DoS",The pop_fail_stack function in the GNU C Library (aka glibc or libc6) allows context-dependent attackers to cause a denial of service (assertion failure and application crash) via vectors related to extended regular expression processing.,,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2018-19591,46,OS,medium,"glibc (used in libc6, libc-bin)",2.27-3ubuntu1,,7.50,needed,"Attack complexity: low, Attack vector: network, Medium severity, Recent vulnerability","In the GNU C Library (aka glibc or libc6) through 2.28, attempting to resolve a crafted hostname via getaddrinfo() leads to the allocation of a socket descriptor that is not closed. This is related to the if_nametoindex() function.",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2019-7309,46,OS,medium,"glibc (used in libc6, libc-bin)",2.27-3ubuntu1,,5.50,needed,"Attack complexity: low, Medium severity, Recent vulnerability","In the GNU C Library (aka glibc or libc6) through 2.29, the memcmp function for the x32 architecture can incorrectly return zero (indicating that the inputs are equal) because the RDX most significant bit is mishandled.",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2012-2663,46,OS,low,iptables (used in libxtables12),1.6.1-2ubuntu2,,7.50,needed,"Attack complexity: low, Attack vector: network","extensions/libxt_tcp.c in iptables through 1.4.21 does not match TCP SYN+FIN packets in --syn rules, which might allow remote attackers to bypass intended firewall restrictions via crafted packets.  NOTE: the CVE-2012-6638 fix makes this issue less relevant.",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2019-1543,46,OS,low,"openssl (used in libssl1.1, openssl)",1.1.0g-2ubuntu4.3,,7.40,needed,"Attack vector: network, Recent vulnerability","ChaCha20-Poly1305 is an AEAD cipher, and requires a unique nonce input for every encryption operation. RFC 7539 specifies that the nonce value (IV) should be 96 bits (12 bytes). OpenSSL allows a variable nonce length and front pads the nonce with 0 bytes if it is less than 12 bytes. However it also incorrectly allows a nonce to be set of up to 16 bytes. In this case only the last 12 bytes are significant and any additional leading bytes are ignored. It is a requirement of using this cipher that nonce values are unique. Messages encrypted using a reused nonce value are susceptible to serious confidentiality and integrity attacks. If an application changes the default nonce length to be longer than 12 bytes and then makes a change to the leading bytes of the nonce expecting the new value to be a new unique nonce then such an application could inadvertently encrypt messages with a reused nonce. Additionally the ignored bytes in a long nonce are not covered by the integrity guarantee of this cipher. Any application that relies on the integrity of these ignored leading bytes of a long nonce may be further affected. Any OpenSSL internal use of this cipher, including in SSL/TLS, is safe because no such use sets such a long nonce value. However user applications that use this cipher directly and set a non-default nonce length to be longer than 12 bytes may be vulnerable. OpenSSL versio",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,CVE-2019-12098,46,OS,low,"heimdal (used in libkrb5-26-heimdal, libroken18-heimdal, libgssapi3-heimdal, libwind0-heimdal, libhcrypto4-heimdal, libasn1-8-heimdal, libheimbase1-heimdal, libheimntlm0-heimdal, libhx509-5-heimdal)",7.5.0+dfsg-1,,7.40,needed,Recent vulnerability,"In the client side of Heimdal before 7.6.0, failure to verify anonymous PKINIT PA-PKINIT-KX key exchange permits a man-in-the-middle attack. This issue is in krb5_init_creds_step in lib/krb5/init_creds_pw.c.",,1,
,mariadb,10.3.13,sha256:e93652b8b80d422415a7771c0cd281d4b9922e1fcbc7f775cf5d3b162b8dc81d,Ubuntu-bionic,localhost,,,41,CIS,high,,,,0.00,,,(CIS_Docker_CE_v1.1.0 - 4.1) Image should be created with a non-root user,,1,
,codedx/codedx-tomcat,v3.7.0,sha256:9dd49667ed4a25d6f990730a2e6e38d1806e925ffd0c2c1495e8d1fe6acbd624,debian-stretch,localhost,,CVE-2016-2781,46,OS,low,coreutils,8.26-3,GPL-3,6.50,open,Attack complexity: low,"chroot in GNU coreutils, when used with --userspec, allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal\'s input buffer.",,1,
,codedx/codedx-tomcat,v3.7.0,sha256:9dd49667ed4a25d6f990730a2e6e38d1806e925ffd0c2c1495e8d1fe6acbd624,debian-stretch,localhost,,CVE-2017-12448,46,OS,medium,binutils,2.28-5,GPL,7.80,open,"Attack complexity: low, Medium severity","The bfd_cache_close function in bfd/cache.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause a heap use after free and possibly achieve code execution via a crafted nested archive file. This issue occurs because incorrect functions are called during an attempt to release memory. The issue can be addressed by better input validation in the bfd_generic_archive_p function in bfd/archive.c.",,1,
,codedx/codedx-tomcat,v3.7.0,sha256:9dd49667ed4a25d6f990730a2e6e38d1806e925ffd0c2c1495e8d1fe6acbd624,debian-stretch,localhost,,CVE-2017-12449,46,OS,medium,binutils,2.28-5,GPL,7.80,open,"Attack complexity: low, Medium severity","The _bfd_vms_save_sized_string function in vms-misc.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause an out of bounds heap read via a crafted vms file.",,1,
